0	R 	Device Type 	0	0	0	dt[4] 	dt[3] 	dt[2] 	dt[1] 	dt[0] 	111
1	R 	Device Version 	0	0	0	vc[4] 	vc[3] 	vc[2] 	vc[1] 	vc[0] 	06h
2	R 	Device Status 	ffovfl 	ffunfl 	rxffem 	headerr 	reserved 	reserved 	cps[1] 	cps[0] 	-
3	R 	Interrupt Status 1 	ifferr 	itxffafull 	itxffaem 	irxffafull 	iext 	ipksent 	ipkvalid 	icrcerror 	-
4	R 	Interrupt Status 2 	iswdet 	ipreaval 	ipreainval 	irssi 	iwut 	ilbd 	ichiprdy 	ipor 	-
5	R/W 	Interrupt Enable 1 	enfferr 	entxffafull 	entxffaem 	enrxffafull 	enext 	enpksent 	enpkvalid 	encrcerror 	00h
6	R/W 	Interrupt Enable 2 	enswdet 	enpreaval 	enpreainval 	enrssi 	enwut 	enlbd 	enchiprdy 	enpor 	03h
7	R/W 	Operating & Function Control 1 	swres 	enlbd 	enwt 	x32ksel 	txon 	rxon 	pllon 	xton 	01h
8	R/W 	Operating & Function Control 2	antdiv[2] 	antdiv[1] 	antdiv[0] 	rxmpk 	autotx 	enldm 	ffclrrx 	ffclrtx 	00h
9	R/W 	Crystal Oscillator Load Capacitance	xtalshft 	xlc[6] 	xlc[5] 	xlc[4] 	xlc[3] 	xlc[2] 	xlc[1] 	xlc[0] 	7Fh
0A 	R/W 	Microcontroller Output Clock 	Reserved 	Reserved 	clkt[1] 	clkt[0] 	enlfc 	mclk[2] 	mclk[1] 	mclk[0] 	06h
0B 	R/W 	GPIO0 Configuration 	gpio0drv[1] 	gpio0drv[0] 	pup0 	gpio0[4] 	gpio0[3] 	gpio0[2] 	gpio0[1] 	gpio0[0] 	00h
0C 	R/W 	GPIO1 Configuration 	gpio1drv[1] 	gpio1drv[0] 	pup1 	gpio1[4] 	gpio1[3] 	gpio1[2] 	gpio1[1] 	gpio1[0] 	00h
0D 	R/W 	GPIO2 Configuration 	gpio2drv[1] 	gpio2drv[0] 	pup2 	gpio2[4] 	gpio2[3] 	gpio2[2] 	gpio2[1] 	gpio2[0] 	00h
0E 	R/W 	I/O Port Configuration 	Reserved 	extitst[2] 	extitst[1] 	extitst[0] 	itsdo 	dio2 	dio1 	dio0 	00h
0F 	R/W 	ADC Configuration 	adcstart/adc-done	adcsel[2] 	adcsel[1] 	adcsel[0] 	adcref[1] 	adcref[0] 	adcgain[1] 	adcgain[0] 	00h
